team,slot,name,team_abbr,score
4,8,Patrick Kane,,409.64150932950963
4,9,Sean Monahan,,397.24910889191773
4,10,Ryan O'Reilly,,380.2634969783805
4,11,Andrei Svechnikov,,357.7285899493309
4,12,Connor Bedard,,337.61381167608573
4,13,Pavel Dorofeyev,,328.27723948139436
4,14,Mattias Ekholm,,313.4211905472873
4,15,Noah Hanifin,,306.54509761466807
5,1,Artemi Panarin,,657.3866943217268
5,2,Jake Guentzel,,565.5250003666278
5,3,Matthew Tkachuk,,499.1766263232228
5,4,Dylan Larkin,,467.84602152416164
5,5,Roope Hintz,,444.40928773651814
5,6,Adam Fox,,432.0110918688269
5,7,Brady Tkachuk,,417.221537945787
5,8,Josh Morrissey,,410.0452825266174
5,9,Mats Zuccarello,,396.1510460089903
5,10,Drake Batherson,,380.55140289019744
5,11,Nick Schmaltz,,356.14205301790514
5,12,Quinton Byfield,,338.641124140356
5,13,Mackenzie Weegar,,324.4232499658554
5,14,Blake Coleman,,314.40117525793073
5,15,Lane Hutson,,303.35865844222906
6,1,Kirill Kaprizov,,639.914927840161
6,2,Jack Hughes,,579.9688182292699
6,3,Jason Robertson,,497.7631675960799
6,4,Robert Thomas,,471.7924521413401
6,5,Mark Scheifele,,443.05135670282334
6,6,Nazem Kadri,,433.44944210588375
6,7,Vincent Trocheck,,416.6742787071909
6,8,Bo Horvat,,411.11131777029834
6,9,Dylan Strome,,395.50434406666807
6,10,Artturi Lehkonen,,381.90044784447196
6,11,Teuvo Teräväinen,,352.41595516887236
6,12,Evgeni Malkin,,339.91545663293874
6,13,Devon Toews,,324.06780527228443
6,14,Vladimir Tarasenko,,315.1325382407431
6,15,John Carlson,,303.34495498620015
7,1,Leon Draisaitl,,637.350639730351
7,2,Mikko Rantanen,,582.5539160042447
7,3,Jesper Bratt,,491.2723778942544
7,4,Adrian Kempe,,476.1972207093887
7,5,Bryan Rust,,440.6640861330584
7,6,Tage Thompson,,436.47203024860653
7,7,Gabriel Vilardi,,416.5672285917265
7,8,Brock Nelson,,412.63395886688903
7,9,Jared McCann,,389.3895018088143
7,10,Tyler Toffoli,,382.4013654653343
7,11,Thomas Harley,,349.33514602429653
7,12,Timo Meier,,340.9646553114614
7,13,Kyle Palmieri,,323.9017296875831
7,14,Erik Karlsson,,315.6481349163413
7,15,Phillip Danault,,303.08230358115406
8,1,Sam Reinhart,,590.1664060008246
8,2,Cale Makar,,585.3416100300194
8,3,Evan Bouchard,,488.89970410003207
8,4,Alexander Ovechkin,,479.56166040012863
8,5,Mathew Barzal,,439.07108898247714
8,6,Jordan Kyrou,,437.4154551777792
8,7,Kevin Fiala,,416.22380923906957
8,8,William Karlsson,,412.96587610337593
8,9,Alex Tuch,,385.70829534102796
8,10,Tyler Seguin,,382.9450181262577
8,11,Jonathan Drouin,,344.634850896553
8,12,Matvei Michkov,,340.9778260424841
8,13,Jamie Benn,,323.8298830070369
8,14,Cole Perfetti,,319.3373507338332
8,15,Logan Cooley,,302.7915107067565
9,1,Jack Eichel,,587.7702147492986
9,2,William Nylander,,587.0520564849687
9,3,Elias Pettersson,,481.4311042994643
9,4,Elias Pettersson,,480.54968814977764
9,5,Brock Boeser,,438.9780454090898
9,6,Carter Verhaeghe,,437.77251459275385
9,7,Victor Hedman,,414.14422575131476
9,8,Brandon Hagel,,413.0298342627464
9,9,Ryan Nugent-Hopkins,,384.68369674392443
9,10,Shea Theodore,,384.5578002956014
9,11,Mikael Granlund,,342.9208247730144
9,12,Gustav Nyquist,,342.7822877007356
9,13,Frank Vatrano,,322.8115602206504
9,14,Morgan Rielly,,321.35884408100327
9,15,Cutter Gauthier,,301.57831469193934
