Name,gp_f0,shrunk_per_game_f0,projected_total_f0,raw_score_f0,gp_f1,shrunk_per_game_f1,projected_total_f1,raw_score_f1,combined_shrunk_per_game,combined_projected_total,combined_ranking_score
Cole Caufield,82.0,5.651052955416836,536.0,536.0,82.0,5.528920621493406,522.4,522.4,5.61034217744236,460.0480585502735,460.0480585502735
Mark Stone,66.0,5.895434900610668,579.7151515151515,466.6,56.0,4.891446097267465,483.50714285714287,330.2,5.596374405997799,458.9027012918195,458.9027012918195
Mark Scheifele,82.0,5.764778445612915,547.6,547.6,74.0,5.201594716939653,495.76756756756754,447.4,5.589670899722909,458.3530137772786,458.3530137772786
Jordan Kyrou,82.0,5.841249033848209,555.4,555.4,82.0,5.079901013650269,476.6,476.6,5.587466360448895,458.17224155680935,458.17224155680935
Tage Thompson,76.0,5.777160431797056,554.7947368421053,514.2,71.0,5.078570366948653,485.76338028169016,420.6,5.554739379760121,455.4886291403299,455.4886291403299
Evan Bouchard,82.0,5.151052955416837,485.00000000000006,485.0,81.0,6.371781221706212,609.4320987654321,602.0,5.554640667945161,455.48053477150324,455.48053477150324
Martin Necas,79.0,6.169771731843609,592.0607594936708,570.4,77.0,4.187112406106468,388.27532467532467,364.6,5.520134420857397,452.6510225103065,452.6510225103065
Matt Duchene,82.0,5.760856876985464,547.2,547.2,80.0,4.967499033923273,466.58,455.2,5.5007395513913036,451.0606432140869,451.0606432140869
Nikolaj Ehlers,69.0,5.615813499466487,545.9536231884058,459.4,82.0,5.042646111689485,472.79999999999995,472.79999999999995,5.40217838220415,442.97862734074033,442.97862734074033
Valeri Nichushkin,43.0,5.066784150039958,531.6651162790698,278.8,54.0,5.923647343139559,602.5481481481481,396.8,5.397288524521233,442.5776590107411,442.5776590107411
Matthew Boldy,82.0,5.313798053456052,501.6,501.6,75.0,5.513156877813974,527.2053333333334,482.20000000000005,5.376358353986781,440.861385026916,440.861385026916
Roope Hintz,76.0,5.316743765130389,507.10526315789474,470.0,80.0,5.467499033923275,517.83,505.20000000000005,5.368728340576212,440.23572392724935,440.23572392724935
Wyatt Johnston,82.0,5.466739229926641,517.2,517.2,82.0,5.011273562669877,469.6000000000001,469.6,5.314917340841053,435.8232219489663,435.8232219489663
