Name,combined_shrunk_per_game,combined_projected_total,combined_ranking_score
Tim Stützle,4.997983546675616,409.83465082740054,409.83465082740054
Kevin Fiala,4.987525819233196,408.97711717712207,408.97711717712207
Mathew Barzal,4.939205746120591,405.0148711818885,405.0148711818885
Alex Tuch,4.921517708193118,403.56445207183566,403.56445207183566
Elias Pettersson,4.894590485044249,401.35641977362843,401.35641977362843
Josh Morrissey,4.878488897313394,400.03608957969834,400.03608957969834
Joel Eriksson Ek,4.871717842983676,399.4808631246614,399.4808631246614
Macklin Celebrini,4.866748905027971,399.07341021229365,399.07341021229365
Patrick Kane,4.860981752454122,398.600503701238,398.600503701238
Brady Tkachuk,4.831566425984138,396.18844693069934,396.18844693069934
Anze Kopitar,4.8309066214434395,396.134342958362,396.134342958362
Adam Fox,4.828878208485802,395.9680130958358,395.9680130958358
Rasmus Dahlin,4.815562795648846,394.8761492432054,394.8761492432054
Bo Horvat,4.804503981179412,393.96932645671177,393.96932645671177
Tyler Seguin,4.774962621896021,391.54693499547375,391.54693499547375
Brock Nelson,4.768957219057758,391.05449196273617,391.05449196273617
Roman Josi,4.7590719465335445,390.24389961575065,390.24389961575065
Drake Batherson,4.739753942148242,388.6598232561559,388.6598232561559
Jared McCann,4.7347093360264685,388.24616555417043,388.24616555417043
Travis Konecny,4.71553180298788,386.6736078450062,386.6736078450062
Vincent Trocheck,4.714917340841053,386.6232219489663,386.6232219489663
Mika Zibanejad,4.696032036373721,385.0746269826451,385.0746269826451
Shea Theodore,4.684239883846085,384.107670475379,384.107670475379
John Peterka,4.659139503139514,382.0494392574401,382.0494392574401
Artturi Lehkonen,4.648716299564402,381.19473656428096,381.19473656428096
Mats Zuccarello,4.63432474268675,380.0146289003135,380.0146289003135
Tomas Hertl,4.630095016077641,379.6677913183666,379.6677913183666
Carter Verhaeghe,4.612530579113042,378.22750748726946,378.22750748726946
William Karlsson,4.566497696305355,374.4528110970391,374.4528110970391
Brock Boeser,4.547347955220904,372.88253232811417,372.88253232811417
Dylan Holloway,4.531858274897429,371.6123785415892,371.6123785415892
Tyler Toffoli,4.526895204803605,371.2054067938956,371.2054067938956
Pavel Buchnevich,4.495883512990003,368.6624480651803,368.6624480651803
Rickard Rakell,4.464166633550253,366.06166395112075,366.06166395112075
Thomas Harley,4.440245468184264,364.10012839110965,364.10012839110965
Jonathan Marchessault,4.410012070194969,361.62098975598747,361.62098975598747
